004082B3 // add x5,x1,x4             ; x5 = 5
40F40333 // sub x6,x8,x15            ; x6 = 4294967289
0087F5B3 // and x11,x15,x8           ; x11 = 8
00126733 // or x14,x4,x1             ; x14 = 5
00A648B3 // xor x17,x12,x10          ; x17 = 6
00311933 // sll x18,x2,x3            ; x18 = 16
00D4D9B3 // srl x19,x9,x13           ; x19 = 0
40785A33 // sra x20,x16,x7           ; x20 = 0
0103AAB3 // slt x21,x7,x16           ; x21 = 1
0096BB33 // sltu x22,x13,x9          ; x22 = 0
00118B93 // addi x23,x3,1            ; x23 = 4
00257C13 // andi x24,x10,2           ; x24 = 2
0030EC93 // ori x25,x1,3             ; x25 = 3
00444D13 // xori x26,x8,4            ; x26 = 12
00379D93 // slli x27,x15,3           ; x27 = 120
00425E13 // srli x28,x4,4            ; x28 = 0
40165E93 // srai x29,x12,1           ; x29 = 6
003102B3 // add x5,x2,x3             ; x5 = 5
40D48333 // sub x6,x9,x13            ; x6 = 4294967292
007875B3 // and x11,x16,x7           ; x11 = 0
0103E733 // or x14,x7,x16            ; x14 = 23
0096C8B3 // xor x17,x13,x9           ; x17 = 4
00219933 // sll x18,x3,x2            ; x18 = 12
00C559B3 // srl x19,x10,x12          ; x19 = 0
4040DA33 // sra x20,x1,x4            ; x20 = 0
00F42AB3 // slt x21,x8,x15           ; x21 = 1
0087BB33 // sltu x22,x15,x8          ; x22 = 0
00C20B93 // addi x23,x4,12           ; x23 = 16
00F67C13 // andi x24,x12,15          ; x24 = 12
01F16C93 // ori x25,x2,31            ; x25 = 31
0014CD13 // xori x26,x9,1            ; x26 = 8
00481D93 // slli x27,x16,4           ; x27 = 256
0013DE13 // srli x28,x7,1            ; x28 = 3
4026DE93 // srai x29,x13,2           ; x29 = 3
002182B3 // add x5,x3,x2             ; x5 = 5
40C50333 // sub x6,x10,x12           ; x6 = 4294967294
0040F5B3 // and x11,x1,x4            ; x11 = 0
00F46733 // or x14,x8,x15            ; x14 = 15
0087C8B3 // xor x17,x15,x8           ; x17 = 7
